forecast_month,month_end_date,state,warehouse,sku,brand,brand_family,forecast_depletion_units,planned_receipt_units,projected_inventory_units,expected_stock_coverage_months,target_safety_stock_units,recommended_replenishment_units,recommended_replenishment_value_usd,potential_oos_flag,risk_level,lead_time_days
2027-05,2027-05-31,TX,DAL-01,SKU-3001,FieldHouse,Protein Snacks,889,975,1513,1.64,1386,0,0.00,N,Moderate,17
2027-06,2027-06-30,TX,DAL-01,SKU-3001,FieldHouse,Protein Snacks,949,1052,1616,1.64,1479,0,0.00,N,Moderate,17
2026-07,2026-07-31,IL,CHI-01,SKU-3001,FieldHouse,Protein Snacks,686,1091,1462,2.05,1212,0,0.00,N,Healthy,20
2026-08,2026-08-31,IL,CHI-01,SKU-3001,FieldHouse,Protein Snacks,674,462,1250,1.79,1190,0,0.00,N,Moderate,20
2026-09,2026-09-30,IL,CHI-01,SKU-3001,FieldHouse,Protein Snacks,615,518,1153,1.80,1086,0,0.00,N,Moderate,20
2026-10,2026-10-31,IL,CHI-01,SKU-3001,FieldHouse,Protein Snacks,578,512,1087,1.81,1021,0,0.00,N,Moderate,20
2026-11,2026-11-30,IL,CHI-01,SKU-3001,FieldHouse,Protein Snacks,563,1091,1615,2.76,994,0,0.00,N,Healthy,20
2026-12,2026-12-31,IL,CHI-01,SKU-3001,FieldHouse,Protein Snacks,683,316,1248,1.76,1207,0,0.00,N,Moderate,20
2027-01,2027-01-31,IL,CHI-01,SKU-3001,FieldHouse,Protein Snacks,518,211,941,1.75,914,0,0.00,N,Moderate,20
2027-02,2027-02-28,IL,CHI-01,SKU-3001,FieldHouse,Protein Snacks,549,663,1055,1.85,969,0,0.00,N,Moderate,20
2027-03,2027-03-31,IL,CHI-01,SKU-3001,FieldHouse,Protein Snacks,606,1091,1540,2.44,1071,0,0.00,N,Healthy,20
2027-04,2027-04-30,IL,CHI-01,SKU-3001,FieldHouse,Protein Snacks,658,322,1204,1.76,1162,0,0.00,N,Moderate,20
2027-05,2027-05-31,IL,CHI-01,SKU-3001,FieldHouse,Protein Snacks,711,877,1370,1.85,1256,0,0.00,N,Moderate,20
2027-06,2027-06-30,IL,CHI-01,SKU-3001,FieldHouse,Protein Snacks,759,839,1450,1.84,1341,0,0.00,N,Moderate,20
2026-07,2026-07-31,WA,SEA-01,SKU-3002,FieldHouse,Protein Snacks,433,688,845,1.88,810,0,0.00,N,Moderate,24
2026-08,2026-08-31,WA,SEA-01,SKU-3002,FieldHouse,Protein Snacks,425,431,851,1.93,795,0,0.00,N,Moderate,24
2026-09,2026-09-30,WA,SEA-01,SKU-3002,FieldHouse,Protein Snacks,388,301,764,1.90,725,0,0.00,N,Moderate,24
2026-10,2026-10-31,WA,SEA-01,SKU-3002,FieldHouse,Protein Snacks,365,325,724,1.91,682,0,0.00,N,Moderate,24
2026-11,2026-11-30,WA,SEA-01,SKU-3002,FieldHouse,Protein Snacks,355,688,1057,2.86,664,0,0.00,N,Healthy,24
2026-12,2026-12-31,WA,SEA-01,SKU-3002,FieldHouse,Protein Snacks,431,206,832,1.86,806,0,0.00,N,Moderate,24
2027-01,2027-01-31,WA,SEA-01,SKU-3002,FieldHouse,Protein Snacks,327,123,628,1.85,612,0,0.00,N,Moderate,24
2027-02,2027-02-28,WA,SEA-01,SKU-3002,FieldHouse,Protein Snacks,347,422,703,1.95,648,0,0.00,N,Moderate,24
2027-03,2027-03-31,WA,SEA-01,SKU-3002,FieldHouse,Protein Snacks,383,688,1008,2.53,716,0,0.00,N,Healthy,24
2027-04,2027-04-30,WA,SEA-01,SKU-3002,FieldHouse,Protein Snacks,415,209,802,1.86,775,0,0.00,N,Moderate,24
2027-05,2027-05-31,WA,SEA-01,SKU-3002,FieldHouse,Protein Snacks,449,557,910,1.95,838,0,0.00,N,Moderate,24
2027-06,2027-06-30,WA,SEA-01,SKU-3002,FieldHouse,Protein Snacks,479,534,965,1.94,896,0,0.00,N,Moderate,24
2026-07,2026-07-31,NY,NYC-01,SKU-4001,UrbanRoast,Ready-to-Drink Coffee,552,0,218,0.38,1291,1073,16953.40,Y,Critical,35
2026-08,2026-08-31,NY,NYC-01,SKU-4001,UrbanRoast,Ready-to-Drink Coffee,542,0,0,0.00,1266,1266,20002.80,Y,Critical,35
2026-09,2026-09-30,NY,NYC-01,SKU-4001,UrbanRoast,Ready-to-Drink Coffee,495,0,0,0.00,1156,1156,18264.80,Y,Critical,35
2026-10,2026-10-31,NY,NYC-01,SKU-4001,UrbanRoast,Ready-to-Drink Coffee,465,0,0,0.00,1086,1086,17158.80,Y,Critical,35
2026-11,2026-11-30,NY,NYC-01,SKU-4001,UrbanRoast,Ready-to-Drink Coffee,453,834,381,0.81,1059,678,10712.40,Y,Critical,35
2026-12,2026-12-31,NY,NYC-01,SKU-4001,UrbanRoast,Ready-to-Drink Coffee,550,0,0,0.00,1287,1287,20334.60,Y,Critical,35
2027-01,2027-01-31,NY,NYC-01,SKU-4001,UrbanRoast,Ready-to-Drink Coffee,417,0,0,0.00,974,974,15389.20,Y,Critical,35
2027-02,2027-02-28,NY,NYC-01,SKU-4001,UrbanRoast,Ready-to-Drink Coffee,442,0,0,0.00,1032,1032,16305.60,Y,Critical,35
2027-03,2027-03-31,NY,NYC-01,SKU-4001,UrbanRoast,Ready-to-Drink Coffee,488,834,346,0.68,1140,794,12545.20,Y,Critical,35
2027-04,2027-04-30,NY,NYC-01,SKU-4001,UrbanRoast,Ready-to-Drink Coffee,530,0,0,0.00,1239,1239,19576.20,Y,Critical,35
2027-05,2027-05-31,NY,NYC-01,SKU-4001,UrbanRoast,Ready-to-Drink Coffee,573,0,0,0.00,1338,1338,21140.40,Y,Critical,35
2027-06,2027-06-30,NY,NYC-01,SKU-4001,UrbanRoast,Ready-to-Drink Coffee,611,0,0,0.00,1428,1428,22562.40,Y,Critical,35
2026-07,2026-07-31,FL,MIA-01,SKU-4001,UrbanRoast,Ready-to-Drink Coffee,430,684,917,2.05,894,0,0.00,N,Healthy,31
2026-08,2026-08-31,FL,MIA-01,SKU-4001,UrbanRoast,Ready-to-Drink Coffee,422,438,933,2.13,876,0,0.00,N,Healthy,31
2026-09,2026-09-30,FL,MIA-01,SKU-4001,UrbanRoast,Ready-to-Drink Coffee,385,289,837,2.09,800,0,0.00,N,Healthy,31
2026-10,2026-10-31,FL,MIA-01,SKU-4001,UrbanRoast,Ready-to-Drink Coffee,362,318,793,2.11,752,0,0.00,N,Healthy,31
2026-11,2026-11-30,FL,MIA-01,SKU-4001,UrbanRoast,Ready-to-Drink Coffee,352,684,1125,3.07,732,0,0.00,N,Excess,31
2026-12,2026-12-31,FL,MIA-01,SKU-4001,UrbanRoast,Ready-to-Drink Coffee,428,221,918,2.06,890,0,0.00,N,Healthy,31
2027-01,2027-01-31,FL,MIA-01,SKU-4001,UrbanRoast,Ready-to-Drink Coffee,325,95,688,2.04,676,0,0.00,N,Healthy,31
2027-02,2027-02-28,FL,MIA-01,SKU-4001,UrbanRoast,Ready-to-Drink Coffee,344,425,769,2.15,714,0,0.00,N,Healthy,31
2027-03,2027-03-31,FL,MIA-01,SKU-4001,UrbanRoast,Ready-to-Drink Coffee,380,684,1073,2.72,790,0,0.00,N,Healthy,31
2027-04,2027-04-30,FL,MIA-01,SKU-4001,UrbanRoast,Ready-to-Drink Coffee,412,224,885,2.07,856,0,0.00,N,Healthy,31
2027-05,2027-05-31,FL,MIA-01,SKU-4001,UrbanRoast,Ready-to-Drink Coffee,446,560,999,2.16,926,0,0.00,N,Healthy,31
2027-06,2027-06-30,FL,MIA-01,SKU-4001,UrbanRoast,Ready-to-Drink Coffee,476,537,1060,2.14,990,0,0.00,N,Healthy,31
